order_date,revenue,orders
2016-09-29,16282.12,2
2016-09-30,5812.95,4
2016-10-01,13764.58,3
2016-10-02,2396.72,2
2016-10-03,6335.66,1
2016-10-04,10764.4,2
2016-10-05,458.98,1
2016-10-06,19924.97,7
2016-10-07,1525.15,1
2016-10-08,6319.94,1
2016-10-09,3675.53,3
2016-10-10,7105.97,4
2016-10-11,7938.67,3
2016-10-12,256.49,1
2016-10-13,1973.73,1
2016-10-14,7064.93,3
2016-10-15,11319.1,2
2016-10-16,5989.96,1
2016-10-17,386.1,1
2016-10-18,755.97,1
2016-10-19,10527.24,4
2016-10-21,6679.95,2
2016-10-22,14459.91,2
2016-10-23,9845.98,3
2016-10-24,4503.74,1
2016-10-25,7105.77,1
2016-10-26,12017.61,2
2016-10-27,8359.21,1
2016-10-28,8130.87,4
2016-10-29,16662.96,4
2016-10-31,5827.77,2
2016-11-02,7387.13,2
2016-11-03,2042.06,1
2016-11-04,5431.34,2
2016-11-06,3064.25,2
2016-11-08,2793.04,1
2016-11-09,10052.99,2
2016-11-11,4746.63,1
2016-11-12,11664.62,4
2016-11-13,18092.38,3
2016-11-14,6794.08,1
2016-11-15,10372.09,1
2016-11-16,8816.95,1
2016-11-18,1649.97,1
2016-11-19,4986.38,2
2016-11-20,4502.49,2
2016-11-21,4495.27,1
2016-11-22,13103.44,2
2016-11-23,9376.87,3
2016-11-24,10180.52,3
2016-11-26,5779.81,1
2016-11-27,22894.06,5
2016-11-30,7824.03,1
2016-12-03,3347.98,1
2016-12-04,12615.83,4
2016-12-06,19109.9,6
2016-12-07,3317.94,2
2016-12-08,14047.97,3
2016-12-09,20935.74,5
2016-12-10,10825.44,2
2016-12-11,5505.73,2
2016-12-12,19050.38,2
2016-12-13,4436.6,1
2016-12-15,1115.98,1
2016-12-16,1364.94,1
2016-12-17,6764.57,1
2016-12-18,660.59,1
2016-12-19,3502.49,1
2016-12-20,1399.97,1
2016-12-21,6310.14,2
2016-12-22,2578.57,2
2016-12-23,8486.21,2
2016-12-24,3428.03,2
2016-12-25,10386.05,3
2016-12-26,8804.66,3
2016-12-27,6859.89,2
2016-12-28,6068.94,1
2016-12-29,6004.97,1
2016-12-30,2754.99,1
2017-01-03,4037.95,2
2017-01-04,6349.36,1
2017-01-06,14241.57,2
2017-01-07,4532.45,2
2017-01-08,18958.1,3
2017-01-09,5954.41,3
2017-01-10,4466.64,1
2017-01-11,2882.13,2
2017-01-12,7130.53,1
2017-01-14,12017.03,2
2017-01-16,1504.95,2
2017-01-17,33399.06,3
2017-01-18,24328.89,2
2017-01-19,7339.41,1
2017-01-20,17595.48,2
2017-01-21,11488.92,2
2017-01-22,5463.03,2
2017-01-23,1692.57,1
2017-01-24,5154.14,1
2017-01-25,6978.71,1
2017-01-26,17552.23,2
2017-01-27,959.98,1
2017-01-28,22106.87,4
2017-01-29,26993.8,5
2017-01-31,22488.05,2
2017-02-01,2787.95,1
2017-02-02,8028.5,3
2017-02-03,4195.3,1
2017-02-04,7747.73,1
2017-02-05,24100.27,4
2017-02-06,18404.16,3
2017-02-07,10504.46,2
2017-02-08,21403.04,4
2017-02-09,8134.39,2
2017-02-10,5959.06,1
2017-02-11,7157.35,1
2017-02-13,25796.52,4
2017-02-14,335.98,1
2017-02-15,17729.0,2
2017-02-16,15685.68,4
2017-02-18,2319.75,1
2017-02-19,15959.96,5
2017-02-20,11153.94,2
2017-02-21,6196.64,1
2017-02-25,4334.05,1
2017-02-26,15699.97,3
2017-02-27,19967.36,2
2017-02-28,28366.98,5
2017-03-01,3061.02,3
2017-03-02,269.99,1
2017-03-03,6491.81,2
2017-03-04,12025.22,2
2017-03-05,15173.0,3
2017-03-06,25762.71,5
2017-03-07,9694.34,3
2017-03-08,1623.06,2
2017-03-09,31269.38,7
2017-03-11,3103.38,3
2017-03-12,13499.77,2
2017-03-13,14861.71,2
2017-03-15,22033.11,4
2017-03-16,3665.51,2
2017-03-18,24401.19,4
2017-03-19,7999.53,2
2017-03-20,3489.97,1
2017-03-22,8109.94,1
2017-03-23,10885.82,4
2017-03-24,14735.41,1
2017-03-26,4100.43,1
2017-03-27,23432.63,2
2017-03-28,12317.01,3
2017-03-29,20637.97,2
2017-03-30,11813.93,2
2017-03-31,3699.28,2
2017-04-01,13376.02,3
2017-04-02,1754.14,1
2017-04-03,4123.29,2
2017-04-04,9588.53,3
2017-04-05,2679.94,2
2017-04-06,12558.43,2
2017-04-07,13094.69,4
2017-04-09,7664.72,2
2017-04-11,9695.86,3
2017-04-12,4890.85,2
2017-04-13,9399.82,3
2017-04-14,5220.47,1
2017-04-15,28065.22,4
2017-04-16,12520.44,2
2017-04-17,14148.36,2
2017-04-18,13517.41,2
2017-04-19,3776.4,2
2017-04-20,999.48,1
2017-04-21,15730.01,2
2017-04-22,1079.06,2
2017-04-23,1044.98,1
2017-04-24,799.99,1
2017-04-25,8096.75,2
2017-04-27,21962.05,3
2017-04-28,1595.24,2
2017-04-29,3026.73,2
2017-05-01,15075.89,4
2017-05-02,3247.24,1
2017-05-03,8030.95,2
2017-05-04,9287.94,1
2017-05-05,6218.39,2
2017-05-06,1194.28,1
2017-05-07,2289.66,1
2017-05-08,15684.55,3
2017-05-09,10949.94,1
2017-05-11,14611.51,2
2017-05-13,17978.95,2
2017-05-14,2795.94,2
2017-05-15,28710.4,3
2017-05-16,1829.95,2
2017-05-18,418.49,1
2017-05-19,2136.53,1
2017-05-20,28083.82,4
2017-05-21,11957.22,2
2017-05-22,5887.34,1
2017-05-23,32960.58,3
2017-05-24,527.28,1
2017-05-25,2282.96,1
2017-05-26,5696.12,3
2017-05-27,4170.19,2
2017-05-28,7733.9,3
2017-05-29,1367.09,1
2017-05-30,16457.5,3
2017-05-31,5459.9,3
2017-06-02,5925.47,1
2017-06-03,13588.91,2
2017-06-05,32869.75,3
2017-06-07,9267.92,3
2017-06-09,16861.74,1
2017-06-10,1096.18,1
2017-06-11,31918.26,3
2017-06-12,5467.59,2
2017-06-13,5245.98,2
2017-06-14,37586.65,3
2017-06-15,8386.57,2
2017-06-16,36808.85,5
2017-06-17,22919.61,4
2017-06-18,14124.48,3
2017-06-19,13859.74,3
2017-06-20,1775.94,3
2017-06-21,16030.1,3
2017-06-22,15944.27,2
2017-06-23,3646.98,1
2017-06-24,21455.7,2
2017-06-25,3228.55,2
2017-06-26,40150.54,6
2017-06-27,9746.68,2
2017-06-30,7670.77,2
2017-07-02,20277.91,3
2017-07-04,2452.94,1
2017-07-06,5498.36,1
2017-07-07,6074.04,1
2017-07-09,11339.22,2
2017-07-11,4490.97,3
2017-07-12,7040.53,3
2017-07-13,7179.98,1
2017-07-14,18905.19,3
2017-07-15,15456.19,2
2017-07-16,6068.62,3
2017-07-18,4512.91,2
2017-07-19,12778.83,4
2017-07-20,3801.64,1
2017-07-22,3765.7,2
2017-07-23,29925.79,5
2017-07-26,8492.94,2
2017-07-27,5122.34,1
2017-07-29,12016.13,2
2017-07-30,22878.92,6
2017-07-31,5640.3,2
2017-08-02,718.4,1
2017-08-04,19989.57,2
2017-08-06,5687.96,2
2017-08-07,9644.49,3
2017-08-08,2379.46,1
2017-08-09,11698.67,2
2017-08-10,16488.26,3
2017-08-11,2069.37,1
2017-08-12,15550.56,3
2017-08-13,7183.32,1
2017-08-14,6530.06,1
2017-08-15,21106.78,3
2017-08-16,6316.9,2
2017-08-17,27974.21,7
2017-08-18,1611.07,1
2017-08-19,31211.73,7
2017-08-20,8621.12,2
2017-08-21,12321.2,3
2017-08-22,10364.46,2
2017-08-24,6038.57,2
2017-08-25,9500.77,3
2017-08-26,16491.51,1
2017-08-27,5488.12,2
2017-08-28,8736.7,3
2017-08-29,6997.09,2
2017-08-31,2615.97,1
2017-09-01,19043.05,2
2017-09-02,6906.96,2
2017-09-03,3721.26,2
2017-09-04,6414.24,2
2017-09-05,11062.41,1
2017-09-06,1119.28,2
2017-09-07,18670.92,1
2017-09-08,35120.53,3
2017-09-10,10098.07,2
2017-09-11,3920.66,1
2017-09-12,15205.92,1
2017-09-13,21121.91,2
2017-09-14,10059.57,2
2017-09-15,3906.42,2
2017-09-17,14567.15,1
2017-09-18,9070.34,2
2017-09-19,25104.03,4
2017-09-20,11432.14,2
2017-09-21,22205.16,3
2017-09-22,1619.99,1
2017-09-23,4459.21,1
2017-09-24,2367.25,2
2017-09-25,9717.49,4
2017-09-27,7575.34,1
2017-09-28,2664.96,1
2017-09-29,7632.44,2
2017-09-30,8618.33,4
2017-10-01,37253.34,8
2017-10-02,1063.89,1
2017-10-03,1026.7,1
2017-10-04,30580.5,3
2017-10-05,20518.65,2
2017-10-07,1590.85,1
2017-10-08,3545.29,2
2017-10-09,13947.54,1
2017-10-10,170.99,1
2017-10-12,9983.68,2
2017-10-13,7957.5,3
2017-10-14,21604.02,4
2017-10-15,19580.82,3
2017-10-16,387.8,1
2017-10-17,13019.96,3
2017-10-19,10413.95,3
2017-10-21,7526.03,1
2017-10-22,507.29,1
2017-10-23,7891.0,3
2017-10-24,208.98,1
2017-10-25,4145.95,2
2017-10-26,14019.04,6
2017-10-27,12084.14,3
2017-10-28,26723.81,4
2017-10-30,16465.97,2
2017-10-31,21204.36,2
2017-11-01,279.99,1
2017-11-02,524.39,1
2017-11-03,9908.46,1
2017-11-04,31939.62,4
2017-11-05,14172.07,3
2017-11-06,18504.79,2
2017-11-07,3599.99,1
2017-11-08,2658.76,1
2017-11-09,14908.16,3
2017-11-10,6798.78,2
2017-11-11,3638.23,2
2017-11-12,2840.04,1
2017-11-13,4237.44,2
2017-11-16,8056.39,2
2017-11-17,29286.75,3
2017-11-18,6403.0,3
2017-11-19,24125.04,3
2017-11-20,1019.96,1
2017-11-22,1845.88,1
2017-11-23,20056.18,3
2017-11-24,8035.5,2
2017-11-25,3725.94,2
2017-11-26,16629.88,3
2017-11-27,20253.53,3
2017-11-28,989.99,1
2017-11-29,5549.98,1
2017-11-30,8820.14,1
2017-12-01,30856.1,4
2017-12-02,8011.31,1
2017-12-03,10047.42,1
2017-12-04,28658.17,4
2017-12-07,17809.62,2
2017-12-08,3408.78,2
2017-12-09,11299.97,1
2017-12-10,2814.73,2
2017-12-11,8028.73,2
2017-12-14,24686.44,3
2017-12-15,12912.9,2
2017-12-16,25703.94,4
2017-12-17,5315.9,1
2017-12-20,11210.72,1
2017-12-22,11864.6,3
2017-12-24,14809.18,2
2017-12-25,9018.23,4
2017-12-26,728.97,1
2017-12-27,8660.01,3
2017-12-28,1113.26,1
2017-12-30,3824.06,1
2017-12-31,8722.72,2
2018-01-01,20145.77,3
2018-01-02,11804.97,2
2018-01-04,8232.01,2
2018-01-05,6701.45,1
2018-01-06,15027.76,2
2018-01-07,24784.4,2
2018-01-09,18897.12,2
2018-01-10,12089.98,1
2018-01-11,2975.99,1
2018-01-12,18094.25,3
2018-01-13,17893.27,2
2018-01-14,26555.38,2
2018-01-15,58200.71,4
2018-01-16,6024.19,2
2018-01-17,2312.44,1
2018-01-19,19320.88,3
2018-01-20,4863.96,1
2018-01-21,2332.96,2
2018-01-22,9854.71,2
2018-01-23,12935.94,1
2018-01-24,451.78,1
2018-01-25,31694.59,2
2018-01-26,9173.38,1
2018-01-27,12684.7,2
2018-01-28,8840.92,2
2018-01-29,8225.22,3
2018-01-30,11311.13,2
2018-02-01,19507.46,2
2018-02-02,11251.9,2
2018-02-05,4407.72,2
2018-02-06,5332.94,1
2018-02-07,6259.26,1
2018-02-08,13562.49,2
2018-02-09,8620.94,3
2018-02-11,6971.55,1
2018-02-12,9200.82,1
2018-02-13,3807.71,2
2018-02-14,15933.02,2
2018-02-15,20638.75,3
2018-02-16,7575.83,2
2018-02-17,2738.24,1
2018-02-18,1961.86,1
2018-02-19,14249.64,1
2018-02-21,377.98,1
2018-02-23,5444.95,1
2018-02-25,6657.95,2
2018-02-26,15259.19,2
2018-02-27,17611.95,1
2018-03-01,11688.72,3
2018-03-03,15083.79,3
2018-03-04,19809.05,4
2018-03-05,4067.25,2
2018-03-06,2119.25,1
2018-03-07,26980.87,4
2018-03-08,15991.0,2
2018-03-10,601.58,1
2018-03-11,9146.65,3
2018-03-14,20157.46,3
2018-03-15,38249.06,5
2018-03-16,14324.41,3
2018-03-17,6996.58,2
2018-03-18,17047.9,3
2018-03-19,15170.11,2
2018-03-20,22637.37,7
2018-03-21,15700.34,2
2018-03-22,6516.92,2
2018-03-23,13821.53,1
2018-03-24,8936.44,1
2018-03-25,1253.98,1
2018-03-26,13175.89,2
2018-03-27,22150.89,2
2018-03-28,12647.72,2
2018-03-29,727.98,1
2018-03-30,10253.69,3
2018-03-31,18734.29,3
